title,release_date,genres,year,director
Flyboys,2006-09-22,Action Adventure Drama History Romance War,2006,Unknown
The Last Castle,2001-10-19,Action Drama Thriller,2001,Unknown
Supernova,2000-01-14,Horror Science Fiction Thriller,2000,Unknown
Winter's Tale,2014-02-13,Drama Fantasy Mystery Romance,2014,Unknown
The Mortal Instruments: City of Bones,2013-08-21,Action Adventure Drama Mystery Romance Fantasy,2013,Unknown
Meet Dave,2008-07-08,Comedy Science Fiction Adventure Family,2008,Unknown
Dark Water,2005-06-27,Drama Horror Thriller,2005,Unknown
Edtv,1999-03-26,Comedy,1999,Unknown
Inkheart,2008-12-11,Adventure Family Fantasy,2008,Unknown
The Spirit,2008-12-25,Action Comedy Thriller Crime Science Fiction,2008,Unknown
Mortdecai,2015-01-21,Comedy Adventure,2015,Unknown
In the Name of the King: A Dungeon Siege Tale,2007-11-29,Adventure Fantasy Action Drama,2007,Unknown
Beyond Borders,2003-10-23,Drama Romance Adventure War,2003,Unknown
The Monkey King 2,2016-01-22,Action Adventure Fantasy,2016,Unknown
The Great Raid,2005-08-12,Action History War,2005,Unknown
Deadpool,2016-02-09,Action Adventure Comedy,2016,Unknown
Holy Man,1998-10-08,Drama Comedy,1998,Unknown
American Sniper,2014-12-11,War Action,2014,Unknown
Goosebumps,2015-08-05,Adventure Horror Comedy,2015,Unknown
Just Like Heaven,2005-09-16,Comedy Fantasy Romance,2005,Unknown
The Flintstones in Viva Rock Vegas,2000-04-28,Science Fiction Comedy Family Romance,2000,Unknown
Rambo III,1988-05-24,Action Adventure Thriller War,1988,Unknown
Leatherheads,2008-03-24,Comedy Romance Drama,2008,Unknown
The Ridiculous 6,2015-12-11,Comedy Western,2015,Unknown
Did You Hear About the Morgans?,2009-12-17,Comedy,2009,Unknown
The Internship,2013-06-07,Comedy,2013,Unknown
Resident Evil: Afterlife,2010-09-09,Action Adventure Horror Science Fiction,2010,Unknown
Red Tails,2012-01-19,Drama Action Adventure History War,2012,Unknown
The Devil's Advocate,1997-10-17,Drama Horror Mystery Thriller,1997,Unknown
That's My Boy,2012-06-14,Comedy,2012,Unknown
DragonHeart,1996-05-31,Fantasy,1996,Unknown
After the Sunset,2004-11-12,Action Comedy Crime Drama,2004,Unknown
Ghost Rider: Spirit of Vengeance,2011-12-10,Action Fantasy Thriller,2011,Unknown
Captain Corelli's Mandolin,2001-08-17,Drama History Romance,2001,Unknown
The Pacifier,2005-03-04,Action Comedy Drama Family Thriller,2005,Unknown
Walking Tall,2004-04-02,Adventure Drama Action Thriller,2004,Unknown
Forrest Gump,1994-07-06,Comedy Drama Romance,1994,Unknown
Alvin and the Chipmunks,2007-12-13,Comedy Music Family Fantasy Animation,2007,Unknown
Meet the Parents,2000-10-06,Comedy Romance,2000,Unknown
Pocahontas,1995-06-14,Adventure Animation Drama Family,1995,Unknown
Superman,1978-12-13,Action Adventure Fantasy Science Fiction,1978,Unknown
The Nutty Professor,1996-06-26,Fantasy Comedy Romance Science Fiction,1996,Unknown
Hitch,2005-02-10,Comedy Drama Romance,2005,Unknown
George of the Jungle,1997-07-15,Adventure Comedy Family Romance,1997,Unknown
American Wedding,2003-08-01,Comedy Romance,2003,Unknown
Captain Phillips,2013-10-10,Action Drama Thriller,2013,Unknown
Date Night,2010-04-08,Comedy,2010,Unknown
Casper,1995-05-26,Fantasy Comedy Family,1995,Unknown
The Equalizer,2014-09-24,Thriller Action Crime,2014,Unknown
Maid in Manhattan,2002-12-13,Comedy Drama Romance,2002,Unknown
Crimson Tide,1995-05-12,Action Thriller Drama,1995,Unknown
The Pursuit of Happyness,2006-12-14,Drama,2006,Unknown
Flightplan,2005-09-22,Thriller Drama Mystery,2005,Unknown
Disclosure,1994-12-09,Drama Thriller Crime Mystery Romance,1994,Unknown
City of Angels,1998-04-10,Drama Fantasy Romance,1998,Unknown
Kill Bill: Vol. 1,2003-10-10,Action Crime,2003,Unknown
Bowfinger,1999-08-12,Comedy,1999,Unknown
Kill Bill: Vol. 2,2004-04-16,Action Crime Thriller,2004,Unknown
Tango & Cash,1989-12-22,Action Adventure Comedy,1989,Unknown
Death Becomes Her,1992-07-30,Fantasy Comedy,1992,Unknown
Shanghai Noon,2000-05-26,Adventure Action Comedy Western,2000,Unknown
Executive Decision,1996-03-15,Action Adventure Drama Thriller,1996,Unknown
Mr. Popper's Penguins,2011-06-17,Comedy Family,2011,Unknown
The Forbidden Kingdom,2008-04-18,Action Adventure Fantasy,2008,Unknown
Free Birds,2013-10-30,Animation Comedy Family,2013,Unknown
Alien³,1992-05-22,Science Fiction Action Horror,1992,Unknown
Evita,1996-12-14,History Drama Music,1996,Unknown
Ronin,1998-09-25,Action Thriller Crime Adventure,1998,Unknown
The Ghost and the Darkness,1996-10-11,Adventure,1996,Unknown
Paddington,2014-11-27,Family Comedy,2014,Unknown
The Watch,2012-07-26,Comedy,2012,Unknown
The Hunted,2003-03-11,Drama Action Thriller Crime,2003,Unknown
Instinct,1999-06-04,Drama Mystery Thriller,1999,Unknown
Stuck on You,2003-12-10,Comedy,2003,Unknown
Semi-Pro,2008-02-28,Comedy,2008,Unknown
The Pirates! In an Adventure with Scientists!,2012-03-12,Animation Adventure Family Comedy,2012,Unknown
Changeling,2008-01-30,Crime Drama Mystery,2008,Unknown
Chain Reaction,1996-08-02,Action Drama Science Fiction Thriller,1996,Unknown
The Fan,1996-08-15,Drama Mystery Thriller,1996,Unknown
The Phantom of the Opera,2004-12-08,Thriller Drama Romance,2004,Unknown
Elizabeth: The Golden Age,2007-09-09,Drama History Romance,2007,Unknown
Æon Flux,2005-11-30,Action Science Fiction,2005,Unknown
Gods and Generals,2003-02-21,Drama History War,2003,Unknown
Turbulence,1997-01-09,Action Thriller Crime,1997,Unknown
Imagine That,2009-06-19,Comedy,2009,Unknown
Muppets Most Wanted,2014-03-20,Comedy Adventure Crime Family,2014,Unknown
Thunderbirds,2004-07-23,Action Adventure Comedy Family Fantasy Science Fiction,2004,Unknown
Burlesque,2010-11-23,Drama Romance,2010,Unknown
A Very Long Engagement,2004-10-26,Drama,2004,Unknown
Lolita,1962-06-13,Drama Romance,1962,Unknown
D-Tox,2002-01-04,Action Thriller,2002,Unknown
Blade II,2002-03-22,Fantasy Horror Action Thriller,2002,Unknown
Seven Pounds,2008-12-18,Drama,2008,Unknown
Bullet to the Head,2013-01-31,Action Crime Thriller,2013,Unknown
The Godfather: Part III,1990-12-24,Crime Drama Thriller,1990,Unknown
Elizabethtown,2005-10-06,Comedy Drama Romance,2005,Unknown
"You, Me and Dupree",2006-07-14,Comedy Romance,2006,Unknown
Superman II,1980-12-04,Action Adventure Fantasy Science Fiction,1980,Unknown
Gigli,2003-08-01,Drama,2003,Unknown
All the King's Men,2006-09-10,Drama Thriller,2006,Unknown
Shaft,2000-06-15,Action Adventure Crime Thriller,2000,Unknown
Anastasia,1997-11-20,Animation Family,1997,Unknown
Moulin Rouge!,2001-03-09,Drama Music Romance,2001,Unknown
Domestic Disturbance,2001-10-30,Mystery Thriller Crime,2001,Unknown
Black Mass,2015-09-04,Crime Drama,2015,Unknown
Flags of Our Fathers,2006-10-18,War Drama History,2006,Unknown
Law Abiding Citizen,2009-10-15,Drama Crime Thriller,2009,Unknown
Grindhouse,2007-04-06,Thriller Action Horror,2007,Unknown
Beloved,1998-10-16,Drama Thriller,1998,Unknown
Lucky You,2007-05-01,Drama Romance,2007,Unknown
Catch Me If You Can,2002-12-25,Drama Crime,2002,Unknown
Zero Dark Thirty,2012-12-19,Thriller Drama History,2012,Unknown
The Break-Up,2006-06-01,Romance Comedy,2006,Unknown
Mamma Mia!,2008-07-03,Comedy Romance,2008,Unknown
Valentine's Day,2010-02-10,Comedy Romance,2010,Unknown
The Dukes of Hazzard,2005-08-05,Action Adventure Comedy,2005,Unknown
The Thin Red Line,1998-12-25,Drama History War,1998,Unknown
The Change-Up,2011-08-05,Comedy,2011,Unknown
Man on the Moon,1999-12-22,Comedy Drama Romance,1999,Unknown
Casino,1995-11-22,Drama Crime,1995,Unknown
From Paris with Love,2010-02-05,Action Crime Thriller,2010,Unknown
Bulletproof Monk,2003-03-28,Action Comedy Fantasy,2003,Unknown
"Me, Myself & Irene",2000-06-22,Comedy,2000,Unknown
Barnyard,2006-08-04,Animation Comedy Family,2006,Unknown
Deck the Halls,2006-11-22,Comedy Family,2006,Unknown
The Twilight Saga: New Moon,2009-03-15,Adventure Fantasy Drama Romance,2009,Unknown
Shrek,2001-05-16,Adventure Animation Comedy Family Fantasy,2001,Unknown
The Adjustment Bureau,2011-03-03,Science Fiction Thriller Romance,2011,Unknown
Robin Hood: Prince of Thieves,1991-06-14,Adventure,1991,Unknown
Jerry Maguire,1996-12-06,Comedy Drama Romance,1996,Unknown
Ted,2012-06-29,Comedy Fantasy,2012,Unknown
As Good as It Gets,1997-12-19,Comedy Romance,1997,Unknown
Patch Adams,1998-12-25,Comedy Drama,1998,Unknown
Anchorman 2: The Legend Continues,2013-12-18,Comedy,2013,Unknown
Mr. Deeds,2002-06-28,Comedy Romance,2002,Unknown
Super 8,2011-06-08,Thriller Science Fiction Mystery,2011,Unknown
Erin Brockovich,2000-03-17,Drama,2000,Unknown
How to Lose a Guy in 10 Days,2003-02-07,Comedy Romance,2003,Unknown
22 Jump Street,2014-06-05,Crime Comedy Action,2014,Unknown
Interview with the Vampire,1994-11-11,Horror Romance,1994,Unknown
Yes Man,2008-12-09,Comedy,2008,Unknown
Central Intelligence,2016-06-15,Action Comedy,2016,Unknown
Stepmom,1998-12-25,Drama Romance,1998,Unknown
Daddy's Home,2015-12-25,Comedy,2015,Unknown
Into the Woods,2014-12-25,Fantasy Comedy Music,2014,Unknown
Inside Man,2006-03-23,Crime Drama Thriller,2006,Unknown
Payback,1999-02-05,Drama Action Thriller Crime,1999,Unknown
Congo,1995-06-09,Action Adventure Drama Mystery Science Fiction Thriller,1995,Unknown
We Bought a Zoo,2011-12-22,Drama Comedy Family,2011,Unknown
Knowing,2009-03-19,Action Adventure Drama Mystery Science Fiction Thriller,2009,Unknown
Failure to Launch,2006-03-10,Comedy,2006,Unknown
The Ring Two,2005-03-17,Drama Horror Thriller,2005,Unknown
"Crazy, Stupid, Love.",2011-07-29,Comedy Drama Romance,2011,Unknown
Garfield,2004-06-10,Animation Comedy Family,2004,Unknown
Christmas with the Kranks,2004-11-24,Comedy Family,2004,Unknown
Moneyball,2011-09-22,Drama,2011,Unknown
Outbreak,1995-03-10,Action Drama Science Fiction Thriller,1995,Unknown
Non-Stop,2014-01-26,Action Thriller Mystery,2014,Unknown
Race to Witch Mountain,2009-03-12,Adventure Family Fantasy Science Fiction Thriller Action,2009,Unknown
V for Vendetta,2006-03-15,Action Thriller Fantasy,2006,Unknown
Shanghai Knights,2003-02-06,Action Adventure Comedy Western,2003,Unknown
Curious George,2006-02-10,Adventure Animation Comedy Family,2006,Unknown
Herbie Fully Loaded,2005-06-22,Comedy Family Adventure Fantasy Romance,2005,Unknown
Don't Say a Word,2001-09-28,Thriller,2001,Unknown
Hansel & Gretel: Witch Hunters,2013-01-17,Fantasy Horror Action,2013,Unknown
Unfaithful,2002-05-10,Thriller Drama,2002,Unknown
I Am Number Four,2011-02-18,Action Thriller Science Fiction Adventure,2011,Unknown
Syriana,2005-11-23,Drama Thriller,2005,Unknown
13 Hours: The Secret Soldiers of Benghazi,2016-01-13,Action Drama History Thriller War,2016,Unknown
The Book of Life,2014-10-01,Romance Animation Adventure Comedy Family Fantasy,2014,Unknown
Firewall,2006-02-10,Thriller,2006,Unknown
Absolute Power,1997-02-14,Crime Drama Thriller,1997,Unknown
G.I. Jane,1997-08-22,Action Drama,1997,Unknown
The Game,1997-09-12,Drama Thriller Mystery,1997,Unknown
Silent Hill,2006-04-21,Horror Mystery,2006,Unknown
The Replacements,2000-08-07,Comedy,2000,Unknown
American Reunion,2012-04-04,Comedy,2012,Unknown
The Negotiator,1998-07-29,Action Adventure Crime Drama Mystery Thriller,1998,Unknown
Into the Storm,2014-08-06,Action Thriller,2014,Unknown
Beverly Hills Cop III,1994-05-24,Action Comedy Crime,1994,Unknown
Gremlins 2: The New Batch,1990-06-15,Comedy Horror Fantasy,1990,Unknown
The Judge,2014-10-08,Drama,2014,Unknown
The Peacemaker,1997-09-26,Action Thriller,1997,Unknown
Resident Evil: Apocalypse,2004-09-10,Horror Action Science Fiction,2004,Unknown
Bridget Jones: The Edge of Reason,2004-11-10,Comedy Romance,2004,Unknown
Out of Time,2003-10-03,Thriller Crime Drama,2003,Unknown
On Deadly Ground,1994-02-18,Action Thriller,1994,Unknown
The Adventures of Sharkboy and Lavagirl,2005-06-10,Adventure Family Science Fiction,2005,Unknown
The Beach,2000-02-11,Drama Adventure Romance Thriller,2000,Unknown
Raising Helen,2004-05-27,Drama Comedy Romance,2004,Unknown
Ninja Assassin,2009-09-29,Action Crime Thriller,2009,Unknown
For Love of the Game,1999-09-17,Drama Romance,1999,Unknown
Striptease,1996-06-28,Drama Thriller Crime,1996,Unknown
Marmaduke,2010-06-04,Family Comedy,2010,Unknown
Hereafter,2010-10-15,Drama Fantasy,2010,Unknown
Murder by Numbers,2002-04-19,Crime Drama Thriller,2002,Unknown
Assassins,1995-10-06,Action Adventure Crime Thriller,1995,Unknown
Hannibal Rising,2007-02-06,Crime Drama Thriller,2007,Unknown
The Story of Us,1999-10-13,Comedy Drama Romance,1999,Unknown
The Host,2013-03-22,Action Adventure Romance Science Fiction Thriller,2013,Unknown
Basic,2003-04-18,Action Drama Mystery Thriller Crime,2003,Unknown
Blood Work,2002-08-04,Crime Drama Mystery Thriller,2002,Unknown
The International,2009-02-03,Drama Thriller Crime,2009,Unknown
Escape from L.A.,1996-08-09,Action Adventure Science Fiction Thriller,1996,Unknown
The Iron Giant,1999-08-06,Adventure Animation Family Fantasy Science Fiction,1999,Unknown
The Life Aquatic with Steve Zissou,2004-12-10,Adventure Comedy Drama,2004,Unknown
Free State of Jones,2016-06-24,War Action Drama History Thriller,2016,Unknown
The Life of David Gale,2003-02-21,Drama Thriller Crime,2003,Unknown
Man of the House,2005-02-25,Comedy Action,2005,Unknown
Run All Night,2015-03-11,Action Crime Drama Mystery Thriller,2015,Unknown
Eastern Promises,2007-09-14,Thriller Crime Mystery,2007,Unknown
Into the Blue,2005-09-30,Action Thriller Adventure Crime,2005,Unknown
The Messenger: The Story of Joan of Arc,1999-10-18,Adventure Drama Action History War,1999,Unknown
Your Highness,2011-04-08,Comedy,2011,Unknown
Dream House,2011-09-30,Drama Thriller Mystery,2011,Unknown
Mad City,1997-11-07,Action Drama Thriller,1997,Unknown
Baby's Day Out,1994-07-01,Action Adventure Comedy Family,1994,Unknown
The Scarlet Letter,1995-10-13,Drama History Romance,1995,Unknown
Fair Game,2010-05-20,Drama Thriller,2010,Unknown
Domino,2005-09-22,Action Crime,2005,Unknown
Jade,1995-10-13,Action Thriller Mystery Romance,1995,Unknown
Gamer,2009-09-03,Action Thriller Science Fiction,2009,Unknown
Beautiful Creatures,2013-02-13,Fantasy Drama Romance,2013,Unknown
Death to Smoochy,2002-03-28,Comedy Crime Drama Thriller,2002,Unknown
Zoolander 2,2016-02-06,Comedy,2016,Unknown
The Big Bounce,2004-01-30,Comedy Crime,2004,Unknown
What Planet Are You From?,2000-03-03,Comedy Drama Romance Science Fiction,2000,Unknown
Drive Angry,2011-02-24,Fantasy Thriller Action Crime,2011,Unknown
Street Fighter: The Legend of Chun-Li,2009-02-27,Action Adventure Science Fiction Thriller,2009,Unknown
The One,2001-11-02,Action Science Fiction Thriller,2001,Unknown
The Adventures of Ford Fairlane,1990-07-11,Action Comedy Thriller Crime Mystery,1990,Unknown
The Boat That Rocked,2009-04-01,Drama Comedy,2009,Unknown
Traffic,2000-12-27,Thriller Drama Crime,2000,Unknown
Indiana Jones and the Last Crusade,1989-05-24,Adventure Action,1989,Unknown
Anna Karenina,2012-09-06,Drama Romance,2012,Unknown
Chappie,2015-03-04,Crime Action Science Fiction,2015,Unknown
The Bone Collector,1999-11-04,Drama Mystery Thriller Crime,1999,Unknown
Panic Room,2002-03-29,Crime Drama Thriller,2002,Unknown
The Tooth Fairy,2006-08-08,Horror,2006,Unknown
Three Kings,1999-09-27,Action Adventure Comedy,1999,Unknown
Child 44,2015-03-15,Crime Thriller,2015,Unknown
Rat Race,2001-07-30,Adventure Comedy,2001,Unknown
K-PAX,2001-10-22,Drama Science Fiction,2001,Unknown
Kate & Leopold,2001-12-25,Comedy Fantasy Romance Science Fiction,2001,Unknown
Bedazzled,2000-10-19,Fantasy Comedy Romance,2000,Unknown
The Cotton Club,1984-12-14,Music Drama Crime Romance,1984,Unknown
3:10 to Yuma,2007-09-06,Western,2007,Unknown
Taken 3,2014-12-16,Thriller Action,2014,Unknown
Out of Sight,1998-06-26,Romance Comedy Crime,1998,Unknown
The Cable Guy,1996-06-10,Comedy Drama Thriller,1996,Unknown
Earth,1998-09-16,Drama,1998,Unknown
Dick Tracy,1990-06-15,Adventure Action Comedy Thriller Crime,1990,Unknown
The Thomas Crown Affair,1999-08-06,Drama Crime Romance,1999,Unknown
Riding in Cars with Boys,2001-10-19,Comedy Drama Romance,2001,Unknown
First Blood,1982-10-22,Action Adventure Thriller War,1982,Unknown
Solaris,1972-03-20,Drama Science Fiction Adventure Mystery,1972,Unknown
Happily N'Ever After,2006-09-14,Animation Comedy Family Fantasy Science Fiction,2006,Unknown
Mary Reilly,1996-02-23,Drama Horror Thriller Romance,1996,Unknown
My Best Friend's Wedding,1997-06-19,Comedy Romance,1997,Unknown
America's Sweethearts,2001-07-17,Comedy Romance,2001,Unknown
Insomnia,2002-05-24,Crime Mystery Thriller,2002,Unknown
Star Trek: First Contact,1996-11-21,Science Fiction Action Adventure Thriller,1996,Unknown
Jonah Hex,2010-06-18,Action Western Drama Fantasy Thriller,2010,Unknown
Courage Under Fire,1996-07-04,Drama Thriller Mystery War,1996,Unknown
Liar Liar,1997-03-21,Comedy,1997,Unknown
The Infiltrator,2016-07-13,Crime Drama Thriller,2016,Unknown
Inchon,1981-05-04,Drama History War,1981,Unknown
The Flintstones,1994-05-26,Fantasy Comedy Family,1994,Unknown
Taken 2,2012-09-27,Action Crime Thriller,2012,Unknown
Scary Movie 3,2003-10-24,Comedy,2003,Unknown
Miss Congeniality,2000-12-14,Comedy Crime Action,2000,Unknown
Journey to the Center of the Earth,2008-07-10,Action Science Fiction Adventure Comedy Family,2008,Unknown
The Princess Diaries 2: Royal Engagement,2004-08-06,Comedy Drama Family Romance,2004,Unknown
The Pelican Brief,1993-12-16,Drama Mystery Thriller Crime,1993,Unknown
The Client,1994-07-20,Drama Thriller Crime Mystery,1994,Unknown
The Bucket List,2007-12-25,Drama Comedy,2007,Unknown
Patriot Games,1992-06-04,Drama Action Thriller Crime,1992,Unknown
Monster-in-Law,2005-05-13,Romance Comedy,2005,Unknown
Prisoners,2013-09-18,Drama Thriller Crime,2013,Unknown
Training Day,2001-10-05,Action Crime Drama Thriller,2001,Unknown
Galaxy Quest,1999-12-23,Comedy Family Science Fiction,1999,Unknown
Scary Movie 2,2001-07-04,Comedy,2001,Unknown
The Muppets,2011-11-22,Comedy Family Music,2011,Unknown
Blade,1998-08-21,Horror Action,1998,Unknown
Coach Carter,2005-01-14,Drama,2005,Unknown
Changing Lanes,2002-04-07,Action Adventure Crime Thriller,2002,Unknown
Anaconda,1997-04-11,Adventure Horror Thriller,1997,Unknown
Coyote Ugly,2000-07-30,Comedy,2000,Unknown
Love Actually,2003-09-07,Comedy Romance Drama,2003,Unknown
A Bug's Life,1998-11-25,Adventure Animation Comedy Family,1998,Unknown
From Hell,2001-10-19,Horror Mystery Thriller,2001,Unknown
The Specialist,1994-10-07,Action Thriller,1994,Unknown
Tin Cup,1996-08-16,Comedy Drama Romance,1996,Unknown
"Yours, Mine and Ours",1968-04-24,Comedy Drama Family,1968,Unknown
Kicking & Screaming,2005-05-13,Romance Comedy Family,2005,Unknown
The Hitchhiker's Guide to the Galaxy,2005-01-15,Adventure Comedy Family Science Fiction,2005,Unknown
Fat Albert,2004-12-12,Comedy Drama Family,2004,Unknown
Resident Evil: Extinction,2007-09-20,Horror Action Science Fiction,2007,Unknown
Blended,2014-05-21,Comedy,2014,Unknown
Last Holiday,2006-01-13,Adventure Comedy Drama,2006,Unknown
The River Wild,1994-09-30,Action Adventure Crime Thriller,1994,Unknown
The Indian in the Cupboard,1995-07-14,Adventure Family Fantasy,1995,Unknown
Savages,2012-07-06,Crime Drama Thriller,2012,Unknown
Cellular,2004-09-06,Action Adventure Crime Thriller,2004,Unknown
Johnny English,2003-04-06,Adventure Action Comedy,2003,Unknown
The Ant Bully,2006-07-27,Fantasy Adventure Animation Comedy Family,2006,Unknown
Dune,1984-12-14,Action Science Fiction Adventure,1984,Unknown
Across the Universe,2007-09-14,Adventure Drama Music Romance,2007,Unknown
Revolutionary Road,2008-12-19,Drama Romance,2008,Unknown
16 Blocks,2006-03-01,Action Adventure Crime Thriller,2006,Unknown
Babylon A.D.,2008-08-20,Action Adventure Science Fiction Thriller,2008,Unknown
The Glimmer Man,1996-10-04,Action Adventure Crime Drama Thriller,1996,Unknown
Multiplicity,1996-07-19,Comedy Fantasy Science Fiction,1996,Unknown
Aliens in the Attic,2009-07-31,Adventure Comedy Family Fantasy Science Fiction,2009,Unknown
The Pledge,2001-01-09,Crime Drama Mystery Thriller,2001,Unknown
The Producers,2005-12-25,Comedy Music,2005,Unknown
The Phantom,1996-06-06,Adventure Action,1996,Unknown
All the Pretty Horses,2000-12-11,Drama Romance Western,2000,Unknown
Nixon,1995-12-22,History Drama,1995,Unknown
The Ghost Writer,2010-02-12,Thriller Mystery,2010,Unknown
Deep Rising,1998-01-30,Adventure Action Horror Science Fiction,1998,Unknown
Miracle at St. Anna,2008-09-15,Drama War,2008,Unknown
Curse of the Golden Flower,2006-12-21,Action Drama Fantasy,2006,Unknown
Bangkok Dangerous,2008-08-21,Action Crime Thriller,2008,Unknown
Big Trouble,2002-04-05,Action Comedy Thriller,2002,Unknown
Love in the Time of Cholera,2007-10-04,Drama Romance,2007,Unknown
Shadow Conspiracy,1997-01-31,Action Thriller,1997,Unknown
Johnny English Reborn,2011-09-15,Crime Adventure Action Comedy Thriller,2011,Unknown
Foodfight!,2012-06-15,Animation Action Comedy Family,2012,Unknown
Argo,2012-10-11,Drama Thriller,2012,Unknown
The Fugitive,1993-08-06,Adventure Action Thriller Crime Mystery,1993,Unknown
The Bounty Hunter,2010-03-16,Action,2010,Unknown
Sleepers,1996-10-18,Crime Drama Thriller,1996,Unknown
Rambo: First Blood Part II,1985-05-21,Action Adventure Thriller War,1985,Unknown
The Juror,1996-02-02,Drama Thriller,1996,Unknown
Pinocchio,1940-02-23,Animation Family,1940,Unknown
Heaven's Gate,1980-11-19,Action Drama History Western,1980,Unknown
Underworld: Evolution,2006-01-12,Fantasy Action Science Fiction Thriller,2006,Unknown
Victor Frankenstein,2015-11-10,Drama Science Fiction Thriller,2015,Unknown
Finding Forrester,2000-12-21,Drama,2000,Unknown
28 Days,2000-04-06,Comedy Drama,2000,Unknown
Unleashed,2005-02-02,Action Crime,2005,Unknown
The Sweetest Thing,2002-04-12,Romance Comedy,2002,Unknown
The Firm,1993-06-30,Drama Mystery Thriller,1993,Unknown
Charlie St. Cloud,2010-05-01,Drama,2010,Unknown
The Mechanic,2011-01-13,Action Thriller Crime,2011,Unknown
21 Jump Street,2012-03-12,Action Comedy Crime,2012,Unknown
Notting Hill,1999-05-13,Romance Comedy Drama,1999,Unknown
Chicken Run,2000-06-21,Animation Comedy Family,2000,Unknown
Along Came Polly,2004-01-16,Comedy Romance,2004,Unknown
Boomerang,1992-06-30,Comedy Romance,1992,Unknown
The Heat,2013-06-27,Action Comedy Crime,2013,Unknown
Cleopatra,1963-06-12,Drama History Romance,1963,Unknown
Here Comes the Boom,2012-10-11,Comedy,2012,Unknown
High Crimes,2002-04-03,Drama Mystery Thriller Crime,2002,Unknown
The Mirror Has Two Faces,1996-11-15,Comedy Drama Romance,1996,Unknown
The Mothman Prophecies,2002-01-25,Drama Horror Mystery,2002,Unknown
Brüno,2009-07-08,Comedy,2009,Unknown
Licence to Kill,1989-07-07,Adventure Action Thriller,1989,Unknown
Red Riding Hood,2011-03-11,Fantasy Thriller Horror,2011,Unknown
15 Minutes,2001-03-01,Action Crime Thriller,2001,Unknown
Super Mario Bros.,1993-05-28,Adventure Comedy Family Fantasy,1993,Unknown
Lord of War,2005-09-16,Crime Drama Thriller,2005,Unknown
Hero,2002-12-19,Drama Adventure Action History,2002,Unknown
One for the Money,2012-01-26,Action Comedy Crime,2012,Unknown
The Interview,2014-12-25,Action Comedy,2014,Unknown
The Warrior's Way,2010-12-02,Adventure Fantasy Action Western Thriller,2010,Unknown
Micmacs,2009-10-28,Action Comedy Crime,2009,Unknown
8 Mile,2002-11-08,Drama,2002,Unknown
Why I Did (Not) Eat My Father,2015-04-08,Adventure Comedy Animation,2015,Unknown
A Knight's Tale,2001-05-11,Adventure Drama Romance Action,2001,Unknown
The Medallion,2003-08-15,Thriller Fantasy Action Comedy,2003,Unknown
The Sixth Sense,1999-08-06,Mystery Thriller Drama,1999,Unknown
Man on a Ledge,2012-01-13,Action Thriller Crime,2012,Unknown
The Big Year,2011-10-13,Comedy,2011,Unknown
The Karate Kid,1984-06-22,Drama,1984,Unknown
American Hustle,2013-12-12,Drama Crime,2013,Unknown
The Proposal,2009-06-01,Comedy Romance Drama,2009,Unknown
Double Jeopardy,1999-09-24,Crime Drama Mystery Thriller,1999,Unknown
Back to the Future Part II,1989-11-20,Adventure Comedy Family Science Fiction,1989,Unknown
Lucy,2014-07-14,Action Science Fiction,2014,Unknown
Fifty Shades of Grey,2015-02-11,Drama Romance Thriller,2015,Unknown
Spy Kids 3-D: Game Over,2003-07-25,Action Adventure Comedy Family Science Fiction,2003,Unknown
A Time to Kill,1996-07-24,Crime Drama Thriller,1996,Unknown
Cheaper by the Dozen,2003-12-24,Comedy,2003,Unknown
Lone Survivor,2013-12-24,Action Drama Thriller War,2013,Unknown
A League of Their Own,1992-07-01,Comedy,1992,Unknown
The Conjuring 2,2016-05-13,Horror,2016,Unknown
The Social Network,2010-09-30,Drama,2010,Unknown
He's Just Not That Into You,2009-02-06,Comedy Romance Drama,2009,Unknown
Scary Movie 4,2006-04-13,Comedy,2006,Unknown
Scream 3,2000-02-03,Horror Mystery,2000,Unknown
Back to the Future Part III,1990-05-25,Adventure Comedy Family Science Fiction,1990,Unknown
Get Hard,2015-03-26,Comedy,2015,Unknown
Dracula,1992-11-13,Romance Horror,1992,Unknown
Julie & Julia,2009-08-06,Romance Drama,2009,Unknown
42,2013-04-12,Drama,2013,Unknown
The Talented Mr. Ripley,1999-12-25,Thriller Crime Drama,1999,Unknown
Dumb and Dumber To,2014-11-12,Comedy,2014,Unknown
Eight Below,2006-02-17,Adventure Drama Family,2006,Unknown
The Intern,2015-09-24,Comedy,2015,Unknown
Ride Along 2,2016-01-14,Action Comedy,2016,Unknown
The Last of the Mohicans,1992-09-25,Action Adventure Drama History Romance War,1992,Unknown
Ray,2004-10-29,Drama Music,2004,Unknown
Sin City,2005-04-01,Action Thriller Crime,2005,Unknown
Vantage Point,2008-02-01,Drama Action Thriller Crime,2008,Unknown
"I Love You, Man",2009-03-20,Comedy,2009,Unknown
Shallow Hal,2001-11-01,Comedy Romance,2001,Unknown
JFK,1991-12-20,Drama Thriller History,1991,Unknown
Big Momma's House 2,2006-01-26,Comedy Crime,2006,Unknown
The Mexican,2001-03-01,Action Comedy Crime Romance,2001,Unknown
17 Again,2009-03-11,Comedy,2009,Unknown
The Other Woman,2014-04-16,Comedy Romance,2014,Unknown
The Final Destination,2009-08-26,Horror Mystery,2009,Unknown
