title,year,genres,keywords,cast,director,overview
The Tree of Life 142,2014,Comedy Drama,survival mystery war,Leonardo DiCaprio Al Pacino Robert De Niro,Christopher Nolan,A young person discovers a hidden talent that changes everything.
The Girl with the Dragon Tattoo 143,1982,Horror Thriller,heist mystery rebellion,Scarlett Johansson Al Pacino Robert De Niro,Christopher Nolan,A team of experts is assembled for one final high-stakes mission.
The Post 144,1982,Comedy Drama,legacy mystery betrayal,Tom Hanks Robert De Niro Brad Pitt,James Cameron,A hero rises to save the world from an ancient threat.
Children of Men 145,1982,Comedy Drama,heist war destiny,Tom Hanks Scarlett Johansson Leonardo DiCaprio,Quentin Tarantino,A young person discovers a hidden talent that changes everything.
The 400 Blows 146,1975,Drama Romance,betrayal war destiny,Leonardo DiCaprio Al Pacino Morgan Freeman,James Cameron,A group of friends embark on a road trip that leads to self-discovery.
The LEGO Movie 147,2010,Thriller Crime Mystery,betrayal legacy destiny,Robert De Niro Al Pacino Meryl Streep,Ridley Scott,Two lovers struggle to find happiness in a divided society.
Zodiac 148,2001,Drama Romance,journey legacy betrayal,Meryl Streep Brad Pitt Robert De Niro,Christopher Nolan,A young person discovers a hidden talent that changes everything.
Shrek 149,2021,Action Adventure Sci-Fi,love heist survival,Robert De Niro Scarlett Johansson Meryl Streep,Christopher Nolan,A young person discovers a hidden talent that changes everything.
"Crouching Tiger, Hidden Dragon 150",1978,Action Adventure Sci-Fi,legacy destiny rebellion,Robert De Niro Morgan Freeman Tom Hanks,Quentin Tarantino,A young person discovers a hidden talent that changes everything.
Friday the 13th 151,1987,Comedy Drama,mystery survival journey,Robert De Niro Morgan Freeman Tom Hanks,Christopher Nolan,A hero rises to save the world from an ancient threat.
The Wind Rises 152,1990,Comedy Drama,betrayal rebellion legacy,Al Pacino Morgan Freeman Meryl Streep,Quentin Tarantino,Two lovers struggle to find happiness in a divided society.
E.T. the Extra-Terrestrial 153,1976,Comedy Drama,betrayal legacy journey,Al Pacino Meryl Streep Leonardo DiCaprio,Steven Spielberg,A young person discovers a hidden talent that changes everything.
Raiders of the Lost Ark 154,2024,Comedy Drama,love war heist,Meryl Streep Brad Pitt Tom Hanks,Quentin Tarantino,Two lovers struggle to find happiness in a divided society.
The Departed 155,2016,Comedy Drama,rebellion heist legacy,Brad Pitt Scarlett Johansson Tom Hanks,Christopher Nolan,A young person discovers a hidden talent that changes everything.
WALL-E 156,1991,Horror Thriller,rebellion war mystery,Scarlett Johansson Al Pacino Leonardo DiCaprio,James Cameron,Two lovers struggle to find happiness in a divided society.
Black Swan 157,1982,Thriller Crime Mystery,destiny love legacy,Brad Pitt Morgan Freeman Leonardo DiCaprio,Quentin Tarantino,A team of experts is assembled for one final high-stakes mission.
Total Recall 158,2010,Action Adventure Sci-Fi,love journey war,Brad Pitt Al Pacino Meryl Streep,Steven Spielberg,Two lovers struggle to find happiness in a divided society.
Godfather 159,1985,Thriller Crime Mystery,heist legacy mystery,Meryl Streep Brad Pitt Tom Hanks,Christopher Nolan,Two lovers struggle to find happiness in a divided society.
Stalker 160,2020,Horror Thriller,rebellion heist legacy,Robert De Niro Morgan Freeman Leonardo DiCaprio,Steven Spielberg,A group of friends embark on a road trip that leads to self-discovery.
Minority Report 161,2008,Action Adventure Sci-Fi,love survival betrayal,Robert De Niro Al Pacino Morgan Freeman,Greta Gerwig,A young person discovers a hidden talent that changes everything.
Yojimbo 162,1988,Animation Family Adventure,war betrayal love,Morgan Freeman Al Pacino Leonardo DiCaprio,Greta Gerwig,A team of experts is assembled for one final high-stakes mission.
Star Wars: The Force Awakens 163,1991,Comedy Drama,mystery betrayal rebellion,Tom Hanks Brad Pitt Scarlett Johansson,Christopher Nolan,A group of friends embark on a road trip that leads to self-discovery.
The Matrix Revolutions 164,1981,Drama Romance,journey survival betrayal,Scarlett Johansson Al Pacino Brad Pitt,Ridley Scott,A hero rises to save the world from an ancient threat.
War Horse 165,2010,Animation Family Adventure,destiny betrayal war,Brad Pitt Tom Hanks Al Pacino,Ridley Scott,A team of experts is assembled for one final high-stakes mission.
Dunkirk 166,2018,Animation Family Adventure,survival mystery destiny,Scarlett Johansson Leonardo DiCaprio Brad Pitt,Christopher Nolan,A hero rises to save the world from an ancient threat.
The Fountain 167,1979,Drama Romance,journey survival heist,Scarlett Johansson Tom Hanks Morgan Freeman,Martin Scorsese,A young person discovers a hidden talent that changes everything.
Cronos 168,2020,Animation Family Adventure,betrayal journey love,Tom Hanks Leonardo DiCaprio Al Pacino,Martin Scorsese,A group of friends embark on a road trip that leads to self-discovery.
Un Chien Andalou 169,2011,Drama Romance,destiny heist love,Brad Pitt Al Pacino Leonardo DiCaprio,Quentin Tarantino,A team of experts is assembled for one final high-stakes mission.
That Obscure Object of Desire 170,1971,Horror Thriller,war survival love,Meryl Streep Morgan Freeman Scarlett Johansson,Quentin Tarantino,A group of friends embark on a road trip that leads to self-discovery.
The Others 171,1991,Animation Family Adventure,destiny legacy war,Robert De Niro Morgan Freeman Leonardo DiCaprio,James Cameron,Two lovers struggle to find happiness in a divided society.
Grave of the Fireflies 172,2009,Thriller Crime Mystery,heist war rebellion,Leonardo DiCaprio Meryl Streep Robert De Niro,Greta Gerwig,Two lovers struggle to find happiness in a divided society.
Toy Story 3 173,2003,Animation Family Adventure,rebellion destiny survival,Scarlett Johansson Morgan Freeman Al Pacino,Steven Spielberg,A team of experts is assembled for one final high-stakes mission.
Pulp Fiction 174,1999,Animation Family Adventure,journey war love,Scarlett Johansson Brad Pitt Al Pacino,Steven Spielberg,A hero rises to save the world from an ancient threat.
Stalker 175,2008,Horror Thriller,legacy heist betrayal,Scarlett Johansson Morgan Freeman Al Pacino,Steven Spielberg,A group of friends embark on a road trip that leads to self-discovery.
Tenet 176,1993,Comedy Drama,war destiny love,Tom Hanks Morgan Freeman Al Pacino,Christopher Nolan,A team of experts is assembled for one final high-stakes mission.
War of the Worlds 177,2006,Horror Thriller,heist survival betrayal,Morgan Freeman Brad Pitt Tom Hanks,Martin Scorsese,A hero rises to save the world from an ancient threat.
Toy Story 4 178,1990,Thriller Crime Mystery,mystery love destiny,Tom Hanks Robert De Niro Meryl Streep,Ridley Scott,A team of experts is assembled for one final high-stakes mission.
Sinister 179,2001,Horror Thriller,love survival rebellion,Brad Pitt Al Pacino Meryl Streep,Martin Scorsese,A young person discovers a hidden talent that changes everything.
Birth 180,1993,Horror Thriller,heist betrayal love,Robert De Niro Tom Hanks Scarlett Johansson,Christopher Nolan,A group of friends embark on a road trip that leads to self-discovery.
Men in Black 3 181,1980,Drama Romance,survival legacy war,Morgan Freeman Brad Pitt Al Pacino,Christopher Nolan,A hero rises to save the world from an ancient threat.
The Hunger Games: Mockingjay - Part 1 182,1989,Action Adventure Sci-Fi,betrayal love legacy,Tom Hanks Morgan Freeman Robert De Niro,Quentin Tarantino,A team of experts is assembled for one final high-stakes mission.
Tokyo Godfathers 183,1991,Animation Family Adventure,survival heist rebellion,Scarlett Johansson Leonardo DiCaprio Robert De Niro,Christopher Nolan,A young person discovers a hidden talent that changes everything.
Pan's Labyrinth 184,2024,Drama Romance,betrayal rebellion love,Meryl Streep Robert De Niro Al Pacino,Greta Gerwig,A team of experts is assembled for one final high-stakes mission.
The Adventures of Tintin 185,2015,Horror Thriller,betrayal survival war,Robert De Niro Scarlett Johansson Meryl Streep,Christopher Nolan,A group of friends embark on a road trip that leads to self-discovery.
The Lobster 186,1971,Thriller Crime Mystery,survival rebellion war,Tom Hanks Leonardo DiCaprio Robert De Niro,Ridley Scott,Two lovers struggle to find happiness in a divided society.
Heat 187,1971,Horror Thriller,heist rebellion journey,Scarlett Johansson Tom Hanks Morgan Freeman,Steven Spielberg,Two lovers struggle to find happiness in a divided society.
Oppenheimer 188,2015,Horror Thriller,betrayal journey war,Robert De Niro Morgan Freeman Brad Pitt,Martin Scorsese,A hero rises to save the world from an ancient threat.
Wild Strawberries 189,2020,Comedy Drama,war love legacy,Scarlett Johansson Leonardo DiCaprio Morgan Freeman,Christopher Nolan,Two lovers struggle to find happiness in a divided society.
Harry Potter and the Deathly Hallows: Part 2 190,2005,Drama Romance,mystery survival war,Tom Hanks Al Pacino Leonardo DiCaprio,Christopher Nolan,A team of experts is assembled for one final high-stakes mission.
Bringing Out the Dead 191,1984,Comedy Drama,love mystery heist,Scarlett Johansson Al Pacino Leonardo DiCaprio,Greta Gerwig,A team of experts is assembled for one final high-stakes mission.
The Terminal 192,1993,Comedy Drama,heist betrayal war,Meryl Streep Tom Hanks Robert De Niro,Steven Spielberg,A hero rises to save the world from an ancient threat.
Oppenheimer 193,2024,Action Adventure Sci-Fi,betrayal love rebellion,Scarlett Johansson Leonardo DiCaprio Meryl Streep,James Cameron,A hero rises to save the world from an ancient threat.
The Avengers 194,2005,Animation Family Adventure,mystery survival war,Al Pacino Robert De Niro Morgan Freeman,Quentin Tarantino,Two lovers struggle to find happiness in a divided society.
Night at the Museum 195,2012,Drama Romance,legacy heist war,Brad Pitt Tom Hanks Scarlett Johansson,James Cameron,Two lovers struggle to find happiness in a divided society.
Bram Stoker's Dracula 196,1985,Drama Romance,betrayal destiny mystery,Brad Pitt Meryl Streep Tom Hanks,Ridley Scott,A group of friends embark on a road trip that leads to self-discovery.
Black Swan 197,1990,Action Adventure Sci-Fi,destiny legacy heist,Brad Pitt Leonardo DiCaprio Robert De Niro,Martin Scorsese,A group of friends embark on a road trip that leads to self-discovery.
Dementia 13 198,2017,Action Adventure Sci-Fi,rebellion war heist,Robert De Niro Leonardo DiCaprio Al Pacino,James Cameron,A team of experts is assembled for one final high-stakes mission.
Back to the Future Part II 199,1996,Thriller Crime Mystery,mystery rebellion legacy,Morgan Freeman Leonardo DiCaprio Robert De Niro,Christopher Nolan,A team of experts is assembled for one final high-stakes mission.
The Leopard 200,2006,Thriller Crime Mystery,love rebellion journey,Meryl Streep Morgan Freeman Robert De Niro,Ridley Scott,A group of friends embark on a road trip that leads to self-discovery.
Tenet 201,1985,Thriller Crime Mystery,journey war rebellion,Robert De Niro Brad Pitt Meryl Streep,James Cameron,A team of experts is assembled for one final high-stakes mission.
Apocalypse Now 202,1987,Horror Thriller,legacy survival journey,Al Pacino Leonardo DiCaprio Meryl Streep,James Cameron,A hero rises to save the world from an ancient threat.
National Treasure 203,1998,Action Adventure Sci-Fi,destiny heist love,Morgan Freeman Meryl Streep Leonardo DiCaprio,Martin Scorsese,A hero rises to save the world from an ancient threat.
The Elephant Man 204,1985,Horror Thriller,love betrayal mystery,Brad Pitt Al Pacino Morgan Freeman,Greta Gerwig,Two lovers struggle to find happiness in a divided society.
Beauty and the Beast 205,1983,Horror Thriller,heist journey love,Tom Hanks Robert De Niro Scarlett Johansson,Martin Scorsese,A team of experts is assembled for one final high-stakes mission.
Hugo 206,1983,Drama Romance,legacy destiny love,Scarlett Johansson Brad Pitt Morgan Freeman,James Cameron,A group of friends embark on a road trip that leads to self-discovery.
Oldboy 207,2006,Action Adventure Sci-Fi,love survival journey,Meryl Streep Scarlett Johansson Al Pacino,James Cameron,A young person discovers a hidden talent that changes everything.
Rogue One: A Star Wars Story 208,1992,Drama Romance,mystery journey rebellion,Al Pacino Morgan Freeman Meryl Streep,James Cameron,A team of experts is assembled for one final high-stakes mission.
Blade II 209,2004,Animation Family Adventure,war survival betrayal,Scarlett Johansson Meryl Streep Morgan Freeman,Greta Gerwig,Two lovers struggle to find happiness in a divided society.
The Silence of the Lambs 210,2005,Animation Family Adventure,journey mystery legacy,Leonardo DiCaprio Morgan Freeman Scarlett Johansson,Martin Scorsese,Two lovers struggle to find happiness in a divided society.
Reservoir Dogs 211,2006,Comedy Drama,legacy destiny rebellion,Scarlett Johansson Morgan Freeman Al Pacino,Christopher Nolan,A group of friends embark on a road trip that leads to self-discovery.
The Sacrifice 212,1990,Comedy Drama,heist rebellion destiny,Leonardo DiCaprio Brad Pitt Scarlett Johansson,Quentin Tarantino,A team of experts is assembled for one final high-stakes mission.
Interstellar 213,2011,Drama Romance,survival rebellion war,Al Pacino Brad Pitt Morgan Freeman,Greta Gerwig,A group of friends embark on a road trip that leads to self-discovery.
The Fly 214,1987,Animation Family Adventure,destiny love mystery,Scarlett Johansson Meryl Streep Brad Pitt,Ridley Scott,A team of experts is assembled for one final high-stakes mission.
Lost in Translation 215,1975,Drama Romance,betrayal war love,Tom Hanks Scarlett Johansson Robert De Niro,Martin Scorsese,A group of friends embark on a road trip that leads to self-discovery.
Back to the Future Part II 216,2022,Thriller Crime Mystery,heist survival mystery,Tom Hanks Robert De Niro Leonardo DiCaprio,Quentin Tarantino,A young person discovers a hidden talent that changes everything.
Battle of Algiers 217,2021,Drama Romance,mystery love heist,Brad Pitt Tom Hanks Scarlett Johansson,Ridley Scott,A hero rises to save the world from an ancient threat.
Spy Kids 218,2005,Horror Thriller,survival love destiny,Leonardo DiCaprio Morgan Freeman Brad Pitt,Greta Gerwig,A team of experts is assembled for one final high-stakes mission.
Triangle of Sadness 219,1984,Drama Romance,love legacy destiny,Morgan Freeman Al Pacino Brad Pitt,James Cameron,A young person discovers a hidden talent that changes everything.
The Fabelmans 220,1985,Drama Romance,rebellion journey heist,Meryl Streep Al Pacino Morgan Freeman,Greta Gerwig,A team of experts is assembled for one final high-stakes mission.
X-Men: The Last Stand 221,1970,Animation Family Adventure,journey destiny betrayal,Robert De Niro Scarlett Johansson Tom Hanks,Quentin Tarantino,A team of experts is assembled for one final high-stakes mission.
Life is Beautiful 222,2008,Comedy Drama,destiny heist war,Leonardo DiCaprio Brad Pitt Scarlett Johansson,James Cameron,A hero rises to save the world from an ancient threat.
Contempt 223,1983,Comedy Drama,legacy war journey,Leonardo DiCaprio Robert De Niro Meryl Streep,Greta Gerwig,A group of friends embark on a road trip that leads to self-discovery.
Killers of the Flower Moon 224,2023,Action Adventure Sci-Fi,legacy destiny rebellion,Al Pacino Meryl Streep Brad Pitt,Steven Spielberg,Two lovers struggle to find happiness in a divided society.
Following 225,1997,Action Adventure Sci-Fi,legacy war love,Meryl Streep Tom Hanks Scarlett Johansson,Ridley Scott,A young person discovers a hidden talent that changes everything.
After Hours 226,2023,Animation Family Adventure,journey legacy destiny,Morgan Freeman Robert De Niro Brad Pitt,Steven Spielberg,Two lovers struggle to find happiness in a divided society.
The Post 227,1996,Thriller Crime Mystery,mystery war betrayal,Tom Hanks Leonardo DiCaprio Scarlett Johansson,Martin Scorsese,A hero rises to save the world from an ancient threat.
The Piano Teacher 228,1975,Horror Thriller,heist legacy war,Tom Hanks Morgan Freeman Scarlett Johansson,Steven Spielberg,A team of experts is assembled for one final high-stakes mission.
Megalopolis 229,1979,Comedy Drama,love rebellion destiny,Brad Pitt Scarlett Johansson Meryl Streep,James Cameron,A team of experts is assembled for one final high-stakes mission.
Avengers: Age of Ultron 230,1999,Drama Romance,heist journey legacy,Morgan Freeman Tom Hanks Leonardo DiCaprio,Christopher Nolan,Two lovers struggle to find happiness in a divided society.
Rumble Fish 231,2021,Animation Family Adventure,journey legacy war,Scarlett Johansson Tom Hanks Meryl Streep,Greta Gerwig,A team of experts is assembled for one final high-stakes mission.
Spider-Man 232,2012,Animation Family Adventure,love war heist,Leonardo DiCaprio Morgan Freeman Al Pacino,James Cameron,Two lovers struggle to find happiness in a divided society.
Lincoln 233,2008,Action Adventure Sci-Fi,legacy rebellion love,Robert De Niro Morgan Freeman Leonardo DiCaprio,Quentin Tarantino,A team of experts is assembled for one final high-stakes mission.
The Mummy 234,1995,Animation Family Adventure,mystery journey betrayal,Brad Pitt Al Pacino Meryl Streep,Greta Gerwig,A young person discovers a hidden talent that changes everything.
The Terminator 235,1994,Action Adventure Sci-Fi,legacy war journey,Morgan Freeman Al Pacino Brad Pitt,Steven Spielberg,A team of experts is assembled for one final high-stakes mission.
Spy Kids 236,2021,Animation Family Adventure,legacy betrayal war,Robert De Niro Scarlett Johansson Al Pacino,Christopher Nolan,A team of experts is assembled for one final high-stakes mission.
Downfall 237,1990,Horror Thriller,mystery war rebellion,Tom Hanks Meryl Streep Morgan Freeman,James Cameron,Two lovers struggle to find happiness in a divided society.
Pacific Rim 238,2024,Comedy Drama,heist legacy love,Scarlett Johansson Morgan Freeman Tom Hanks,Ridley Scott,A team of experts is assembled for one final high-stakes mission.
The Color of Pomegranates 239,2006,Animation Family Adventure,rebellion betrayal heist,Scarlett Johansson Leonardo DiCaprio Meryl Streep,Martin Scorsese,A young person discovers a hidden talent that changes everything.
The Terminator 240,1999,Drama Romance,mystery heist betrayal,Brad Pitt Scarlett Johansson Leonardo DiCaprio,Greta Gerwig,A team of experts is assembled for one final high-stakes mission.
Signs 241,2005,Thriller Crime Mystery,journey survival heist,Leonardo DiCaprio Morgan Freeman Robert De Niro,Steven Spielberg,A team of experts is assembled for one final high-stakes mission.
Mission: Impossible - Ghost Protocol 242,1997,Thriller Crime Mystery,heist betrayal war,Meryl Streep Morgan Freeman Robert De Niro,Steven Spielberg,A group of friends embark on a road trip that leads to self-discovery.
Bram Stoker's Dracula 243,2011,Thriller Crime Mystery,mystery journey survival,Meryl Streep Robert De Niro Morgan Freeman,James Cameron,Two lovers struggle to find happiness in a divided society.
The Da Vinci Code 244,2007,Horror Thriller,destiny rebellion betrayal,Leonardo DiCaprio Robert De Niro Morgan Freeman,Greta Gerwig,A team of experts is assembled for one final high-stakes mission.
Pierrot le Fou 245,1974,Thriller Crime Mystery,rebellion betrayal heist,Morgan Freeman Al Pacino Meryl Streep,Martin Scorsese,A team of experts is assembled for one final high-stakes mission.
The Sixth Sense 246,2016,Thriller Crime Mystery,destiny betrayal survival,Scarlett Johansson Brad Pitt Leonardo DiCaprio,Greta Gerwig,A hero rises to save the world from an ancient threat.
Babel 247,2005,Comedy Drama,rebellion legacy survival,Al Pacino Meryl Streep Scarlett Johansson,James Cameron,A hero rises to save the world from an ancient threat.
Incredibles 2 248,1996,Action Adventure Sci-Fi,survival destiny love,Tom Hanks Morgan Freeman Al Pacino,James Cameron,A hero rises to save the world from an ancient threat.
Sunshine 249,2019,Drama Romance,rebellion survival war,Scarlett Johansson Brad Pitt Tom Hanks,Martin Scorsese,A group of friends embark on a road trip that leads to self-discovery.
The Dark Knight Rises 250,1984,Comedy Drama,love betrayal survival,Leonardo DiCaprio Brad Pitt Robert De Niro,James Cameron,A young person discovers a hidden talent that changes everything.
Frida 251,2003,Action Adventure Sci-Fi,survival legacy heist,Tom Hanks Brad Pitt Meryl Streep,Greta Gerwig,A group of friends embark on a road trip that leads to self-discovery.
Thor: Ragnarok 252,2014,Animation Family Adventure,heist war love,Leonardo DiCaprio Brad Pitt Scarlett Johansson,Steven Spielberg,Two lovers struggle to find happiness in a divided society.
That Obscure Object of Desire 253,2004,Comedy Drama,mystery survival rebellion,Meryl Streep Al Pacino Tom Hanks,Ridley Scott,Two lovers struggle to find happiness in a divided society.
RoboCop 254,1978,Comedy Drama,legacy love rebellion,Tom Hanks Brad Pitt Scarlett Johansson,Christopher Nolan,A group of friends embark on a road trip that leads to self-discovery.
The Terminal 255,2007,Comedy Drama,mystery rebellion legacy,Brad Pitt Morgan Freeman Scarlett Johansson,Quentin Tarantino,A hero rises to save the world from an ancient threat.
Transformers: Age of Extinction 256,2022,Thriller Crime Mystery,love rebellion heist,Scarlett Johansson Robert De Niro Tom Hanks,Greta Gerwig,Two lovers struggle to find happiness in a divided society.
The Mask of Zorro 257,1989,Animation Family Adventure,journey legacy mystery,Morgan Freeman Robert De Niro Al Pacino,Steven Spielberg,A young person discovers a hidden talent that changes everything.
Apocalypse Now 258,2002,Comedy Drama,destiny war love,Meryl Streep Scarlett Johansson Leonardo DiCaprio,Martin Scorsese,A young person discovers a hidden talent that changes everything.
Harry Potter and the Half-Blood Prince 259,2012,Animation Family Adventure,legacy rebellion mystery,Al Pacino Leonardo DiCaprio Tom Hanks,Martin Scorsese,A team of experts is assembled for one final high-stakes mission.
Jaws 260,1994,Thriller Crime Mystery,mystery legacy war,Morgan Freeman Robert De Niro Tom Hanks,Ridley Scott,Two lovers struggle to find happiness in a divided society.
The Hateful Eight 261,1980,Animation Family Adventure,mystery journey betrayal,Robert De Niro Leonardo DiCaprio Morgan Freeman,Greta Gerwig,A hero rises to save the world from an ancient threat.
The Lord of the Rings: The Fellowship of the Ring 262,1985,Drama Romance,betrayal war love,Scarlett Johansson Meryl Streep Robert De Niro,Steven Spielberg,A team of experts is assembled for one final high-stakes mission.
The Lion King 263,2014,Drama Romance,destiny heist love,Leonardo DiCaprio Scarlett Johansson Al Pacino,James Cameron,Two lovers struggle to find happiness in a divided society.
Gardens of Stone 264,2024,Action Adventure Sci-Fi,rebellion survival journey,Tom Hanks Scarlett Johansson Morgan Freeman,Martin Scorsese,Two lovers struggle to find happiness in a divided society.
Run Lola Run 265,1989,Animation Family Adventure,legacy journey war,Tom Hanks Scarlett Johansson Leonardo DiCaprio,Ridley Scott,Two lovers struggle to find happiness in a divided society.
Taxi Driver 266,1972,Animation Family Adventure,rebellion journey mystery,Brad Pitt Morgan Freeman Al Pacino,Christopher Nolan,Two lovers struggle to find happiness in a divided society.
The Hobbit: The Desolation of Smaug 267,1986,Animation Family Adventure,journey love betrayal,Leonardo DiCaprio Morgan Freeman Robert De Niro,Greta Gerwig,Two lovers struggle to find happiness in a divided society.
Wild Strawberries 268,2021,Thriller Crime Mystery,betrayal war destiny,Scarlett Johansson Morgan Freeman Leonardo DiCaprio,Greta Gerwig,Two lovers struggle to find happiness in a divided society.
Parasite 269,2003,Action Adventure Sci-Fi,war mystery legacy,Al Pacino Meryl Streep Morgan Freeman,Ridley Scott,Two lovers struggle to find happiness in a divided society.
The Lives of Others 270,1983,Comedy Drama,betrayal heist war,Scarlett Johansson Brad Pitt Leonardo DiCaprio,Christopher Nolan,A group of friends embark on a road trip that leads to self-discovery.
Avatar 271,1976,Horror Thriller,heist betrayal love,Brad Pitt Al Pacino Morgan Freeman,Christopher Nolan,Two lovers struggle to find happiness in a divided society.
Insidious 272,1982,Action Adventure Sci-Fi,mystery rebellion love,Meryl Streep Leonardo DiCaprio Al Pacino,Steven Spielberg,A group of friends embark on a road trip that leads to self-discovery.
Twixt 273,1974,Horror Thriller,heist destiny mystery,Brad Pitt Meryl Streep Scarlett Johansson,Steven Spielberg,A hero rises to save the world from an ancient threat.
Un Chien Andalou 274,2024,Animation Family Adventure,rebellion love journey,Scarlett Johansson Robert De Niro Leonardo DiCaprio,Christopher Nolan,A team of experts is assembled for one final high-stakes mission.
Die Hard with a Vengeance 275,2005,Comedy Drama,journey legacy betrayal,Tom Hanks Robert De Niro Brad Pitt,Greta Gerwig,A team of experts is assembled for one final high-stakes mission.
X-Men: The Last Stand 276,1986,Thriller Crime Mystery,love destiny war,Robert De Niro Scarlett Johansson Leonardo DiCaprio,Martin Scorsese,A team of experts is assembled for one final high-stakes mission.
Pirates of the Caribbean: On Stranger Tides 277,1989,Action Adventure Sci-Fi,betrayal love war,Scarlett Johansson Leonardo DiCaprio Morgan Freeman,Christopher Nolan,Two lovers struggle to find happiness in a divided society.
The Tree of Life 278,2003,Animation Family Adventure,love rebellion mystery,Al Pacino Robert De Niro Leonardo DiCaprio,James Cameron,A young person discovers a hidden talent that changes everything.
Rashomon 279,2015,Drama Romance,legacy war mystery,Morgan Freeman Leonardo DiCaprio Robert De Niro,Steven Spielberg,A team of experts is assembled for one final high-stakes mission.
The Truman Show 280,2003,Drama Romance,betrayal war journey,Morgan Freeman Scarlett Johansson Leonardo DiCaprio,James Cameron,A group of friends embark on a road trip that leads to self-discovery.
Hugo 281,1974,Horror Thriller,mystery legacy heist,Scarlett Johansson Tom Hanks Morgan Freeman,Quentin Tarantino,A group of friends embark on a road trip that leads to self-discovery.
Thor: Ragnarok 282,2001,Horror Thriller,journey destiny love,Leonardo DiCaprio Tom Hanks Brad Pitt,Ridley Scott,A team of experts is assembled for one final high-stakes mission.
Guardians of the Galaxy 283,1991,Action Adventure Sci-Fi,legacy mystery betrayal,Brad Pitt Scarlett Johansson Al Pacino,Christopher Nolan,A young person discovers a hidden talent that changes everything.
Cache 284,1995,Action Adventure Sci-Fi,war destiny journey,Tom Hanks Robert De Niro Leonardo DiCaprio,James Cameron,A group of friends embark on a road trip that leads to self-discovery.
Close Encounters of the Third Kind 285,2005,Action Adventure Sci-Fi,legacy journey rebellion,Leonardo DiCaprio Scarlett Johansson Brad Pitt,Ridley Scott,A group of friends embark on a road trip that leads to self-discovery.
Pirates of the Caribbean: On Stranger Tides 286,2023,Drama Romance,journey heist rebellion,Leonardo DiCaprio Meryl Streep Morgan Freeman,Martin Scorsese,A group of friends embark on a road trip that leads to self-discovery.
Evita 287,2015,Horror Thriller,heist betrayal legacy,Leonardo DiCaprio Brad Pitt Robert De Niro,Christopher Nolan,A group of friends embark on a road trip that leads to self-discovery.
Reservoir Dogs 288,1991,Drama Romance,betrayal war heist,Scarlett Johansson Al Pacino Morgan Freeman,Steven Spielberg,A group of friends embark on a road trip that leads to self-discovery.
Amores Perros 289,1985,Thriller Crime Mystery,mystery betrayal love,Morgan Freeman Meryl Streep Scarlett Johansson,Martin Scorsese,Two lovers struggle to find happiness in a divided society.
Grand Illusion 290,2021,Action Adventure Sci-Fi,mystery heist journey,Robert De Niro Brad Pitt Morgan Freeman,Ridley Scott,Two lovers struggle to find happiness in a divided society.
Contempt 291,2024,Drama Romance,rebellion love legacy,Leonardo DiCaprio Brad Pitt Tom Hanks,Ridley Scott,A young person discovers a hidden talent that changes everything.
Seven 292,2024,Action Adventure Sci-Fi,betrayal rebellion heist,Brad Pitt Scarlett Johansson Al Pacino,James Cameron,Two lovers struggle to find happiness in a divided society.
The Chorus 293,1989,Thriller Crime Mystery,rebellion mystery love,Leonardo DiCaprio Tom Hanks Morgan Freeman,James Cameron,A young person discovers a hidden talent that changes everything.
The Hobbit: The Desolation of Smaug 294,1993,Drama Romance,mystery destiny betrayal,Meryl Streep Brad Pitt Leonardo DiCaprio,James Cameron,A team of experts is assembled for one final high-stakes mission.
No Country for Old Men 295,1984,Thriller Crime Mystery,legacy rebellion heist,Morgan Freeman Leonardo DiCaprio Meryl Streep,Ridley Scott,A young person discovers a hidden talent that changes everything.
The Hunger Games: Mockingjay - Part 1 296,1996,Animation Family Adventure,survival rebellion war,Tom Hanks Leonardo DiCaprio Meryl Streep,Greta Gerwig,Two lovers struggle to find happiness in a divided society.
Avengers: Age of Ultron 297,2022,Thriller Crime Mystery,legacy rebellion war,Tom Hanks Brad Pitt Al Pacino,Quentin Tarantino,A hero rises to save the world from an ancient threat.
Always 298,2013,Animation Family Adventure,war journey betrayal,Al Pacino Scarlett Johansson Meryl Streep,Steven Spielberg,A group of friends embark on a road trip that leads to self-discovery.
The Avengers 299,2012,Comedy Drama,destiny journey betrayal,Scarlett Johansson Robert De Niro Al Pacino,Greta Gerwig,A hero rises to save the world from an ancient threat.
Harry Potter and the Chamber of Secrets 300,1977,Horror Thriller,rebellion heist love,Meryl Streep Brad Pitt Robert De Niro,Greta Gerwig,Two lovers struggle to find happiness in a divided society.
Grand Illusion 301,2015,Drama Romance,betrayal war destiny,Meryl Streep Leonardo DiCaprio Tom Hanks,James Cameron,A hero rises to save the world from an ancient threat.
A.I. Artificial Intelligence 302,2002,Thriller Crime Mystery,rebellion heist survival,Robert De Niro Brad Pitt Leonardo DiCaprio,Greta Gerwig,A hero rises to save the world from an ancient threat.
Bridge of Spies 303,1995,Animation Family Adventure,legacy betrayal destiny,Meryl Streep Brad Pitt Morgan Freeman,James Cameron,A team of experts is assembled for one final high-stakes mission.
Breaking the Waves 304,1976,Thriller Crime Mystery,journey betrayal heist,Leonardo DiCaprio Tom Hanks Meryl Streep,Quentin Tarantino,A group of friends embark on a road trip that leads to self-discovery.
