title,year,genres,keywords,cast,director,overview
Incendies,2007,Comedy Drama Romance,comedy legacy destiny redemption,Actor_147_A Actor_147_B Actor_147_C,Director_147,A compelling story titled 'Incendies' that explores themes of comedy and human nature.
Inception,2008,Crime Mystery Thriller,crime legacy destiny redemption,Actor_148_A Actor_148_B Actor_148_C,Director_148,A compelling story titled 'Inception' that explores themes of crime and human nature.
Indiana Jones and the Last Crusade,2009,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_149_A Actor_149_B Actor_149_C,Director_149,A compelling story titled 'Indiana Jones and the Last Crusade' that explores themes of adventure and human nature.
Inglourious Basterds,2010,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_150_A Actor_150_B Actor_150_C,Director_150,A compelling story titled 'Inglourious Basterds' that explores themes of sci-fi and human nature.
Inherit the Wind,2011,Drama Mystery Thriller,drama legacy destiny redemption,Actor_151_A Actor_151_B Actor_151_C,Director_151,A compelling story titled 'Inherit the Wind' that explores themes of drama and human nature.
Inside Out,2012,Action Crime Drama,action legacy destiny redemption,Actor_152_A Actor_152_B Actor_152_C,Director_152,A compelling story titled 'Inside Out' that explores themes of action and human nature.
Interstellar,2013,Comedy Drama Romance,comedy legacy destiny redemption,Actor_153_A Actor_153_B Actor_153_C,Director_153,A compelling story titled 'Interstellar' that explores themes of comedy and human nature.
Into the Wild,2014,Crime Mystery Thriller,crime legacy destiny redemption,Actor_154_A Actor_154_B Actor_154_C,Director_154,A compelling story titled 'Into the Wild' that explores themes of crime and human nature.
Ip Man,2015,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_155_A Actor_155_B Actor_155_C,Director_155,A compelling story titled 'Ip Man' that explores themes of adventure and human nature.
Iron Man,2016,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_156_A Actor_156_B Actor_156_C,Director_156,A compelling story titled 'Iron Man' that explores themes of sci-fi and human nature.
It's a Wonderful Life,2017,Drama Mystery Thriller,drama legacy destiny redemption,Actor_157_A Actor_157_B Actor_157_C,Director_157,A compelling story titled 'It's a Wonderful Life' that explores themes of drama and human nature.
Jackie Brown,2018,Action Crime Drama,action legacy destiny redemption,Actor_158_A Actor_158_B Actor_158_C,Director_158,A compelling story titled 'Jackie Brown' that explores themes of action and human nature.
Jason Bourne,2019,Comedy Drama Romance,comedy legacy destiny redemption,Actor_159_A Actor_159_B Actor_159_C,Director_159,A compelling story titled 'Jason Bourne' that explores themes of comedy and human nature.
Joker,2020,Crime Mystery Thriller,crime legacy destiny redemption,Actor_160_A Actor_160_B Actor_160_C,Director_160,A compelling story titled 'Joker' that explores themes of crime and human nature.
Judgment at Nuremberg,2021,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_161_A Actor_161_B Actor_161_C,Director_161,A compelling story titled 'Judgment at Nuremberg' that explores themes of adventure and human nature.
Jungle Book (2016),2022,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_162_A Actor_162_B Actor_162_C,Director_162,A compelling story titled 'Jungle Book (2016)' that explores themes of sci-fi and human nature.
Jurassic Park,2023,Drama Mystery Thriller,drama legacy destiny redemption,Actor_163_A Actor_163_B Actor_163_C,Director_163,A compelling story titled 'Jurassic Park' that explores themes of drama and human nature.
Jurassic World,2024,Action Crime Drama,action legacy destiny redemption,Actor_164_A Actor_164_B Actor_164_C,Director_164,A compelling story titled 'Jurassic World' that explores themes of action and human nature.
Jurassic World Dominion,1970,Comedy Drama Romance,comedy legacy destiny redemption,Actor_165_A Actor_165_B Actor_165_C,Director_165,A compelling story titled 'Jurassic World Dominion' that explores themes of comedy and human nature.
Jurassic World: Fallen Kingdom,1971,Crime Mystery Thriller,crime legacy destiny redemption,Actor_166_A Actor_166_B Actor_166_C,Director_166,A compelling story titled 'Jurassic World: Fallen Kingdom' that explores themes of crime and human nature.
Kill Bill: Vol. 1,1972,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_167_A Actor_167_B Actor_167_C,Director_167,A compelling story titled 'Kill Bill: Vol. 1' that explores themes of adventure and human nature.
Kill Bill: Vol. 2,1973,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_168_A Actor_168_B Actor_168_C,Director_168,A compelling story titled 'Kill Bill: Vol. 2' that explores themes of sci-fi and human nature.
Kingdom of Heaven,1974,Drama Mystery Thriller,drama legacy destiny redemption,Actor_169_A Actor_169_B Actor_169_C,Director_169,A compelling story titled 'Kingdom of Heaven' that explores themes of drama and human nature.
Klaus,1975,Action Crime Drama,action legacy destiny redemption,Actor_170_A Actor_170_B Actor_170_C,Director_170,A compelling story titled 'Klaus' that explores themes of action and human nature.
Kung Fu Hustle,1976,Comedy Drama Romance,comedy legacy destiny redemption,Actor_171_A Actor_171_B Actor_171_C,Director_171,A compelling story titled 'Kung Fu Hustle' that explores themes of comedy and human nature.
Kung Fu Panda,1977,Crime Mystery Thriller,crime legacy destiny redemption,Actor_172_A Actor_172_B Actor_172_C,Director_172,A compelling story titled 'Kung Fu Panda' that explores themes of crime and human nature.
L.A. Confidential,1978,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_173_A Actor_173_B Actor_173_C,Director_173,A compelling story titled 'L.A. Confidential' that explores themes of adventure and human nature.
La Dolce Vita,1979,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_174_A Actor_174_B Actor_174_C,Director_174,A compelling story titled 'La Dolce Vita' that explores themes of sci-fi and human nature.
La Vie en Rose,1980,Drama Mystery Thriller,drama legacy destiny redemption,Actor_175_A Actor_175_B Actor_175_C,Director_175,A compelling story titled 'La Vie en Rose' that explores themes of drama and human nature.
Lady Vengeance,1981,Action Crime Drama,action legacy destiny redemption,Actor_176_A Actor_176_B Actor_176_C,Director_176,A compelling story titled 'Lady Vengeance' that explores themes of action and human nature.
Lawrence of Arabia,1982,Comedy Drama Romance,comedy legacy destiny redemption,Actor_177_A Actor_177_B Actor_177_C,Director_177,A compelling story titled 'Lawrence of Arabia' that explores themes of comedy and human nature.
Le Samouraï,1983,Crime Mystery Thriller,crime legacy destiny redemption,Actor_178_A Actor_178_B Actor_178_C,Director_178,A compelling story titled 'Le Samouraï' that explores themes of crime and human nature.
Letters from Iwo Jima,1984,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_179_A Actor_179_B Actor_179_C,Director_179,A compelling story titled 'Letters from Iwo Jima' that explores themes of adventure and human nature.
Life Is Beautiful,1985,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_180_A Actor_180_B Actor_180_C,Director_180,A compelling story titled 'Life Is Beautiful' that explores themes of sci-fi and human nature.
Life of Brian,1986,Drama Mystery Thriller,drama legacy destiny redemption,Actor_181_A Actor_181_B Actor_181_C,Director_181,A compelling story titled 'Life of Brian' that explores themes of drama and human nature.
Lincoln,1987,Action Crime Drama,action legacy destiny redemption,Actor_182_A Actor_182_B Actor_182_C,Director_182,A compelling story titled 'Lincoln' that explores themes of action and human nature.
Living,1988,Comedy Drama Romance,comedy legacy destiny redemption,Actor_183_A Actor_183_B Actor_183_C,Director_183,A compelling story titled 'Living' that explores themes of comedy and human nature.
"Lock, Stock and Two Smoking Barrels",1989,Crime Mystery Thriller,crime legacy destiny redemption,Actor_184_A Actor_184_B Actor_184_C,Director_184,"A compelling story titled 'Lock, Stock and Two Smoking Barrels' that explores themes of crime and human nature."
Logan,1990,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_185_A Actor_185_B Actor_185_C,Director_185,A compelling story titled 'Logan' that explores themes of adventure and human nature.
Léon: The Professional,1991,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_186_A Actor_186_B Actor_186_C,Director_186,A compelling story titled 'Léon: The Professional' that explores themes of sci-fi and human nature.
M,1992,Drama Mystery Thriller,drama legacy destiny redemption,Actor_187_A Actor_187_B Actor_187_C,Director_187,A compelling story titled 'M' that explores themes of drama and human nature.
Mad Max: Fury Road,1993,Action Crime Drama,action legacy destiny redemption,Actor_188_A Actor_188_B Actor_188_C,Director_188,A compelling story titled 'Mad Max: Fury Road' that explores themes of action and human nature.
Mank,1994,Comedy Drama Romance,comedy legacy destiny redemption,Actor_189_A Actor_189_B Actor_189_C,Director_189,A compelling story titled 'Mank' that explores themes of comedy and human nature.
Mary and Max,1995,Crime Mystery Thriller,crime legacy destiny redemption,Actor_190_A Actor_190_B Actor_190_C,Director_190,A compelling story titled 'Mary and Max' that explores themes of crime and human nature.
Master and Commander: The Far Side of the World,1996,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_191_A Actor_191_B Actor_191_C,Director_191,A compelling story titled 'Master and Commander: The Far Side of the World' that explores themes of adventure and human nature.
Memento,1997,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_192_A Actor_192_B Actor_192_C,Director_192,A compelling story titled 'Memento' that explores themes of sci-fi and human nature.
Memories of Murder,1998,Drama Mystery Thriller,drama legacy destiny redemption,Actor_193_A Actor_193_B Actor_193_C,Director_193,A compelling story titled 'Memories of Murder' that explores themes of drama and human nature.
Metropolis,1999,Action Crime Drama,action legacy destiny redemption,Actor_194_A Actor_194_B Actor_194_C,Director_194,A compelling story titled 'Metropolis' that explores themes of action and human nature.
Minari,2000,Comedy Drama Romance,comedy legacy destiny redemption,Actor_195_A Actor_195_B Actor_195_C,Director_195,A compelling story titled 'Minari' that explores themes of comedy and human nature.
Minions,2001,Crime Mystery Thriller,crime legacy destiny redemption,Actor_196_A Actor_196_B Actor_196_C,Director_196,A compelling story titled 'Minions' that explores themes of crime and human nature.
Mirror,2002,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_197_A Actor_197_B Actor_197_C,Director_197,A compelling story titled 'Mirror' that explores themes of adventure and human nature.
Mission: Impossible,2003,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_198_A Actor_198_B Actor_198_C,Director_198,A compelling story titled 'Mission: Impossible' that explores themes of sci-fi and human nature.
Mission: Impossible - Fallout,2004,Drama Mystery Thriller,drama legacy destiny redemption,Actor_199_A Actor_199_B Actor_199_C,Director_199,A compelling story titled 'Mission: Impossible - Fallout' that explores themes of drama and human nature.
Mission: Impossible - Ghost Protocol,2005,Action Crime Drama,action legacy destiny redemption,Actor_200_A Actor_200_B Actor_200_C,Director_200,A compelling story titled 'Mission: Impossible - Ghost Protocol' that explores themes of action and human nature.
Mission: Impossible - Rogue Nation,2006,Comedy Drama Romance,comedy legacy destiny redemption,Actor_201_A Actor_201_B Actor_201_C,Director_201,A compelling story titled 'Mission: Impossible - Rogue Nation' that explores themes of comedy and human nature.
Mission: Impossible II,2007,Crime Mystery Thriller,crime legacy destiny redemption,Actor_202_A Actor_202_B Actor_202_C,Director_202,A compelling story titled 'Mission: Impossible II' that explores themes of crime and human nature.
Mission: Impossible III,2008,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_203_A Actor_203_B Actor_203_C,Director_203,A compelling story titled 'Mission: Impossible III' that explores themes of adventure and human nature.
Moana,2009,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_204_A Actor_204_B Actor_204_C,Director_204,A compelling story titled 'Moana' that explores themes of sci-fi and human nature.
Modern Times,2010,Drama Mystery Thriller,drama legacy destiny redemption,Actor_205_A Actor_205_B Actor_205_C,Director_205,A compelling story titled 'Modern Times' that explores themes of drama and human nature.
Mon Oncle,2011,Action Crime Drama,action legacy destiny redemption,Actor_206_A Actor_206_B Actor_206_C,Director_206,A compelling story titled 'Mon Oncle' that explores themes of action and human nature.
Moneyball,2012,Comedy Drama Romance,comedy legacy destiny redemption,Actor_207_A Actor_207_B Actor_207_C,Director_207,A compelling story titled 'Moneyball' that explores themes of comedy and human nature.
Monsters University,2013,Crime Mystery Thriller,crime legacy destiny redemption,Actor_208_A Actor_208_B Actor_208_C,Director_208,A compelling story titled 'Monsters University' that explores themes of crime and human nature.
"Monsters, Inc.",2014,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_209_A Actor_209_B Actor_209_C,Director_209,"A compelling story titled 'Monsters, Inc.' that explores themes of adventure and human nature."
Mouchette,2015,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_210_A Actor_210_B Actor_210_C,Director_210,A compelling story titled 'Mouchette' that explores themes of sci-fi and human nature.
My Neighbor Totoro,2016,Drama Mystery Thriller,drama legacy destiny redemption,Actor_211_A Actor_211_B Actor_211_C,Director_211,A compelling story titled 'My Neighbor Totoro' that explores themes of drama and human nature.
Network,2017,Action Crime Drama,action legacy destiny redemption,Actor_212_A Actor_212_B Actor_212_C,Director_212,A compelling story titled 'Network' that explores themes of action and human nature.
Night on Earth,2018,Comedy Drama Romance,comedy legacy destiny redemption,Actor_213_A Actor_213_B Actor_213_C,Director_213,A compelling story titled 'Night on Earth' that explores themes of comedy and human nature.
No Country for Old Men,2019,Crime Mystery Thriller,crime legacy destiny redemption,Actor_214_A Actor_214_B Actor_214_C,Director_214,A compelling story titled 'No Country for Old Men' that explores themes of crime and human nature.
No Time to Die,2020,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_215_A Actor_215_B Actor_215_C,Director_215,A compelling story titled 'No Time to Die' that explores themes of adventure and human nature.
Nomadland,2021,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_216_A Actor_216_B Actor_216_C,Director_216,A compelling story titled 'Nomadland' that explores themes of sci-fi and human nature.
North by Northwest,2022,Drama Mystery Thriller,drama legacy destiny redemption,Actor_217_A Actor_217_B Actor_217_C,Director_217,A compelling story titled 'North by Northwest' that explores themes of drama and human nature.
Okja,2023,Action Crime Drama,action legacy destiny redemption,Actor_218_A Actor_218_B Actor_218_C,Director_218,A compelling story titled 'Okja' that explores themes of action and human nature.
Oldboy,2024,Comedy Drama Romance,comedy legacy destiny redemption,Actor_219_A Actor_219_B Actor_219_C,Director_219,A compelling story titled 'Oldboy' that explores themes of comedy and human nature.
Once Upon a Time in America,1970,Crime Mystery Thriller,crime legacy destiny redemption,Actor_220_A Actor_220_B Actor_220_C,Director_220,A compelling story titled 'Once Upon a Time in America' that explores themes of crime and human nature.
Once Upon a Time in Hollywood,1971,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_221_A Actor_221_B Actor_221_C,Director_221,A compelling story titled 'Once Upon a Time in Hollywood' that explores themes of adventure and human nature.
Once Upon a Time in the West,1972,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_222_A Actor_222_B Actor_222_C,Director_222,A compelling story titled 'Once Upon a Time in the West' that explores themes of sci-fi and human nature.
One Flew Over the Cuckoo's Nest,1973,Drama Mystery Thriller,drama legacy destiny redemption,Actor_223_A Actor_223_B Actor_223_C,Director_223,A compelling story titled 'One Flew Over the Cuckoo's Nest' that explores themes of drama and human nature.
Pan's Labyrinth,1974,Action Crime Drama,action legacy destiny redemption,Actor_224_A Actor_224_B Actor_224_C,Director_224,A compelling story titled 'Pan's Labyrinth' that explores themes of action and human nature.
Paper Moon,1975,Comedy Drama Romance,comedy legacy destiny redemption,Actor_225_A Actor_225_B Actor_225_C,Director_225,A compelling story titled 'Paper Moon' that explores themes of comedy and human nature.
Parasite,1976,Crime Mystery Thriller,crime legacy destiny redemption,Actor_226_A Actor_226_B Actor_226_C,Director_226,A compelling story titled 'Parasite' that explores themes of crime and human nature.
Pather Panchali,1977,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_227_A Actor_227_B Actor_227_C,Director_227,A compelling story titled 'Pather Panchali' that explores themes of adventure and human nature.
Paths of Glory,1978,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_228_A Actor_228_B Actor_228_C,Director_228,A compelling story titled 'Paths of Glory' that explores themes of sci-fi and human nature.
Persona,1979,Drama Mystery Thriller,drama legacy destiny redemption,Actor_229_A Actor_229_B Actor_229_C,Director_229,A compelling story titled 'Persona' that explores themes of drama and human nature.
Pickpocket,1980,Action Crime Drama,action legacy destiny redemption,Actor_230_A Actor_230_B Actor_230_C,Director_230,A compelling story titled 'Pickpocket' that explores themes of action and human nature.
Pirates of the Caribbean: At World's End,1981,Comedy Drama Romance,comedy legacy destiny redemption,Actor_231_A Actor_231_B Actor_231_C,Director_231,A compelling story titled 'Pirates of the Caribbean: At World's End' that explores themes of comedy and human nature.
Pirates of the Caribbean: Dead Man's Chest,1982,Crime Mystery Thriller,crime legacy destiny redemption,Actor_232_A Actor_232_B Actor_232_C,Director_232,A compelling story titled 'Pirates of the Caribbean: Dead Man's Chest' that explores themes of crime and human nature.
Pirates of the Caribbean: The Curse of the Black Pearl,1983,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_233_A Actor_233_B Actor_233_C,Director_233,A compelling story titled 'Pirates of the Caribbean: The Curse of the Black Pearl' that explores themes of adventure and human nature.
Platoon,1984,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_234_A Actor_234_B Actor_234_C,Director_234,A compelling story titled 'Platoon' that explores themes of sci-fi and human nature.
Playtime,1985,Drama Mystery Thriller,drama legacy destiny redemption,Actor_235_A Actor_235_B Actor_235_C,Director_235,A compelling story titled 'Playtime' that explores themes of drama and human nature.
Police Story,1986,Action Crime Drama,action legacy destiny redemption,Actor_236_A Actor_236_B Actor_236_C,Director_236,A compelling story titled 'Police Story' that explores themes of action and human nature.
Princess Mononoke,1987,Comedy Drama Romance,comedy legacy destiny redemption,Actor_237_A Actor_237_B Actor_237_C,Director_237,A compelling story titled 'Princess Mononoke' that explores themes of comedy and human nature.
Prisoners,1988,Crime Mystery Thriller,crime legacy destiny redemption,Actor_238_A Actor_238_B Actor_238_C,Director_238,A compelling story titled 'Prisoners' that explores themes of crime and human nature.
Promising Young Woman,1989,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_239_A Actor_239_B Actor_239_C,Director_239,A compelling story titled 'Promising Young Woman' that explores themes of adventure and human nature.
Psycho,1990,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_240_A Actor_240_B Actor_240_C,Director_240,A compelling story titled 'Psycho' that explores themes of sci-fi and human nature.
Pulp Fiction,1991,Drama Mystery Thriller,drama legacy destiny redemption,Actor_241_A Actor_241_B Actor_241_C,Director_241,A compelling story titled 'Pulp Fiction' that explores themes of drama and human nature.
Quantum of Solace,1992,Action Crime Drama,action legacy destiny redemption,Actor_242_A Actor_242_B Actor_242_C,Director_242,A compelling story titled 'Quantum of Solace' that explores themes of action and human nature.
Raging Bull,1993,Comedy Drama Romance,comedy legacy destiny redemption,Actor_243_A Actor_243_B Actor_243_C,Director_243,A compelling story titled 'Raging Bull' that explores themes of comedy and human nature.
Raiders of the Lost Ark,1994,Crime Mystery Thriller,crime legacy destiny redemption,Actor_244_A Actor_244_B Actor_244_C,Director_244,A compelling story titled 'Raiders of the Lost Ark' that explores themes of crime and human nature.
Ran,1995,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_245_A Actor_245_B Actor_245_C,Director_245,A compelling story titled 'Ran' that explores themes of adventure and human nature.
Rashomon,1996,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_246_A Actor_246_B Actor_246_C,Director_246,A compelling story titled 'Rashomon' that explores themes of sci-fi and human nature.
Ratatouille,1997,Drama Mystery Thriller,drama legacy destiny redemption,Actor_247_A Actor_247_B Actor_247_C,Director_247,A compelling story titled 'Ratatouille' that explores themes of drama and human nature.
Ray,1998,Action Crime Drama,action legacy destiny redemption,Actor_248_A Actor_248_B Actor_248_C,Director_248,A compelling story titled 'Ray' that explores themes of action and human nature.
Rear Window,1999,Comedy Drama Romance,comedy legacy destiny redemption,Actor_249_A Actor_249_B Actor_249_C,Director_249,A compelling story titled 'Rear Window' that explores themes of comedy and human nature.
Red River,2000,Crime Mystery Thriller,crime legacy destiny redemption,Actor_250_A Actor_250_B Actor_250_C,Director_250,A compelling story titled 'Red River' that explores themes of crime and human nature.
Requiem for a Dream,2001,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_251_A Actor_251_B Actor_251_C,Director_251,A compelling story titled 'Requiem for a Dream' that explores themes of adventure and human nature.
Reservoir Dogs,2002,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_252_A Actor_252_B Actor_252_C,Director_252,A compelling story titled 'Reservoir Dogs' that explores themes of sci-fi and human nature.
Rififi,2003,Drama Mystery Thriller,drama legacy destiny redemption,Actor_253_A Actor_253_B Actor_253_C,Director_253,A compelling story titled 'Rififi' that explores themes of drama and human nature.
Rio Bravo,2004,Action Crime Drama,action legacy destiny redemption,Actor_254_A Actor_254_B Actor_254_C,Director_254,A compelling story titled 'Rio Bravo' that explores themes of action and human nature.
Rocketman,2005,Comedy Drama Romance,comedy legacy destiny redemption,Actor_255_A Actor_255_B Actor_255_C,Director_255,A compelling story titled 'Rocketman' that explores themes of comedy and human nature.
Rocky,2006,Crime Mystery Thriller,crime legacy destiny redemption,Actor_256_A Actor_256_B Actor_256_C,Director_256,A compelling story titled 'Rocky' that explores themes of crime and human nature.
Room,2007,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_257_A Actor_257_B Actor_257_C,Director_257,A compelling story titled 'Room' that explores themes of adventure and human nature.
Rope,2008,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_258_A Actor_258_B Actor_258_C,Director_258,A compelling story titled 'Rope' that explores themes of sci-fi and human nature.
Rush,2009,Drama Mystery Thriller,drama legacy destiny redemption,Actor_259_A Actor_259_B Actor_259_C,Director_259,A compelling story titled 'Rush' that explores themes of drama and human nature.
Saving Private Ryan,2010,Action Crime Drama,action legacy destiny redemption,Actor_260_A Actor_260_B Actor_260_C,Director_260,A compelling story titled 'Saving Private Ryan' that explores themes of action and human nature.
Scarface,2011,Comedy Drama Romance,comedy legacy destiny redemption,Actor_261_A Actor_261_B Actor_261_C,Director_261,A compelling story titled 'Scarface' that explores themes of comedy and human nature.
Schindler's List,2012,Crime Mystery Thriller,crime legacy destiny redemption,Actor_262_A Actor_262_B Actor_262_C,Director_262,A compelling story titled 'Schindler's List' that explores themes of crime and human nature.
Se7en,2013,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_263_A Actor_263_B Actor_263_C,Director_263,A compelling story titled 'Se7en' that explores themes of adventure and human nature.
Seven,2014,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_264_A Actor_264_B Actor_264_C,Director_264,A compelling story titled 'Seven' that explores themes of sci-fi and human nature.
Seven Samurai,2015,Drama Mystery Thriller,drama legacy destiny redemption,Actor_265_A Actor_265_B Actor_265_C,Director_265,A compelling story titled 'Seven Samurai' that explores themes of drama and human nature.
Shane,2016,Action Crime Drama,action legacy destiny redemption,Actor_266_A Actor_266_B Actor_266_C,Director_266,A compelling story titled 'Shane' that explores themes of action and human nature.
Shaolin Soccer,2017,Comedy Drama Romance,comedy legacy destiny redemption,Actor_267_A Actor_267_B Actor_267_C,Director_267,A compelling story titled 'Shaolin Soccer' that explores themes of comedy and human nature.
Shazam!,2018,Crime Mystery Thriller,crime legacy destiny redemption,Actor_268_A Actor_268_B Actor_268_C,Director_268,A compelling story titled 'Shazam!' that explores themes of crime and human nature.
Sherlock Jr.,2019,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_269_A Actor_269_B Actor_269_C,Director_269,A compelling story titled 'Sherlock Jr.' that explores themes of adventure and human nature.
Shoplifters,2020,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_270_A Actor_270_B Actor_270_C,Director_270,A compelling story titled 'Shoplifters' that explores themes of sci-fi and human nature.
Shoulder Arms,2021,Drama Mystery Thriller,drama legacy destiny redemption,Actor_271_A Actor_271_B Actor_271_C,Director_271,A compelling story titled 'Shoulder Arms' that explores themes of drama and human nature.
Shrek,2022,Action Crime Drama,action legacy destiny redemption,Actor_272_A Actor_272_B Actor_272_C,Director_272,A compelling story titled 'Shrek' that explores themes of action and human nature.
Shrek 2,2023,Comedy Drama Romance,comedy legacy destiny redemption,Actor_273_A Actor_273_B Actor_273_C,Director_273,A compelling story titled 'Shrek 2' that explores themes of comedy and human nature.
Shutter Island,2024,Crime Mystery Thriller,crime legacy destiny redemption,Actor_274_A Actor_274_B Actor_274_C,Director_274,A compelling story titled 'Shutter Island' that explores themes of crime and human nature.
Sid and Nancy,1970,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_275_A Actor_275_B Actor_275_C,Director_275,A compelling story titled 'Sid and Nancy' that explores themes of adventure and human nature.
Singin' in the Rain,1971,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_276_A Actor_276_B Actor_276_C,Director_276,A compelling story titled 'Singin' in the Rain' that explores themes of sci-fi and human nature.
Skyfall,1972,Drama Mystery Thriller,drama legacy destiny redemption,Actor_277_A Actor_277_B Actor_277_C,Director_277,A compelling story titled 'Skyfall' that explores themes of drama and human nature.
Snatch,1973,Action Crime Drama,action legacy destiny redemption,Actor_278_A Actor_278_B Actor_278_C,Director_278,A compelling story titled 'Snatch' that explores themes of action and human nature.
Snowpiercer,1974,Comedy Drama Romance,comedy legacy destiny redemption,Actor_279_A Actor_279_B Actor_279_C,Director_279,A compelling story titled 'Snowpiercer' that explores themes of comedy and human nature.
Soul,1975,Crime Mystery Thriller,crime legacy destiny redemption,Actor_280_A Actor_280_B Actor_280_C,Director_280,A compelling story titled 'Soul' that explores themes of crime and human nature.
Sound of Metal,1976,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_281_A Actor_281_B Actor_281_C,Director_281,A compelling story titled 'Sound of Metal' that explores themes of adventure and human nature.
Spectre,1977,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_282_A Actor_282_B Actor_282_C,Director_282,A compelling story titled 'Spectre' that explores themes of sci-fi and human nature.
Spider-Man: Far From Home,1978,Drama Mystery Thriller,drama legacy destiny redemption,Actor_283_A Actor_283_B Actor_283_C,Director_283,A compelling story titled 'Spider-Man: Far From Home' that explores themes of drama and human nature.
Spider-Man: Homecoming,1979,Action Crime Drama,action legacy destiny redemption,Actor_284_A Actor_284_B Actor_284_C,Director_284,A compelling story titled 'Spider-Man: Homecoming' that explores themes of action and human nature.
Spider-Man: Into the Spider-Verse,1980,Comedy Drama Romance,comedy legacy destiny redemption,Actor_285_A Actor_285_B Actor_285_C,Director_285,A compelling story titled 'Spider-Man: Into the Spider-Verse' that explores themes of comedy and human nature.
Spider-Man: No Way Home,1981,Crime Mystery Thriller,crime legacy destiny redemption,Actor_286_A Actor_286_B Actor_286_C,Director_286,A compelling story titled 'Spider-Man: No Way Home' that explores themes of crime and human nature.
Spirited Away,1982,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_287_A Actor_287_B Actor_287_C,Director_287,A compelling story titled 'Spirited Away' that explores themes of adventure and human nature.
Spotlight,1983,Sci-Fi Thriller Action,sci-fi legacy destiny redemption,Actor_288_A Actor_288_B Actor_288_C,Director_288,A compelling story titled 'Spotlight' that explores themes of sci-fi and human nature.
Stagecoach,1984,Drama Mystery Thriller,drama legacy destiny redemption,Actor_289_A Actor_289_B Actor_289_C,Director_289,A compelling story titled 'Stagecoach' that explores themes of drama and human nature.
Stalker,1985,Action Crime Drama,action legacy destiny redemption,Actor_290_A Actor_290_B Actor_290_C,Director_290,A compelling story titled 'Stalker' that explores themes of action and human nature.
Stand by Me,1986,Comedy Drama Romance,comedy legacy destiny redemption,Actor_291_A Actor_291_B Actor_291_C,Director_291,A compelling story titled 'Stand by Me' that explores themes of comedy and human nature.
Star Wars: Episode IV - A New Hope,1987,Crime Mystery Thriller,crime legacy destiny redemption,Actor_292_A Actor_292_B Actor_292_C,Director_292,A compelling story titled 'Star Wars: Episode IV - A New Hope' that explores themes of crime and human nature.
Star Wars: Episode V - The Empire Strikes Back,1988,Adventure Fantasy Action,adventure legacy destiny redemption,Actor_293_A Actor_293_B Actor_293_C,Director_293,A compelling story titled 'Star Wars: Episode V - The Empire Strikes Back' that explores themes of adventure and human nature.
